date,day_of_week,month,or_size,gap_points,gap_direction,volume_ratio,signal_strength,regime,prev_day_result,entry_time,direction,pnl,win_loss,consecutive_losses_before,consecutive_wins_before,market_atr,drawdown_at_entry,exit_reason,points_captured
2023-05-10,Wednesday,5,95.75,102.88,1,1.557,76,breakout,loss,10:06,long,-625.0,0,2,0,153.43,0.0,stop,-31.0
2023-05-18,Thursday,5,59.5,44.0,1,1.108,54,breakout,loss,10:06,long,1185.0,1,3,0,152.77,1.25,target,59.5
2023-05-25,Thursday,5,102.0,265.75,1,1.674,74,breakout,win,11:13,long,-625.0,0,0,1,149.82,0.0,stop,-31.0
2023-05-26,Friday,5,75.0,71.75,1,1.085,84,breakout,loss,09:49,long,1185.0,1,1,0,145.91,1.24,target,59.5
2023-05-31,Wednesday,5,70.25,-41.12,-1,1.074,90,breakout,win,10:17,short,1185.0,1,0,1,164.18,0.0,target,59.5
2023-06-08,Thursday,6,69.0,29.25,1,1.093,84,breakout,win,10:05,long,1185.0,1,0,2,215.15,0.0,target,59.5
2023-06-09,Friday,6,71.25,95.88,1,0.833,84,breakout,win,09:45,long,-625.0,0,0,3,211.88,0.0,stop,-31.0
2023-06-23,Friday,6,73.75,-162.12,-1,1.184,84,breakout,loss,09:45,short,-625.0,0,1,0,201.2,1.22,stop,-31.0
2023-06-29,Thursday,6,66.75,-46.12,-1,1.258,94,breakout,loss,10:07,short,-625.0,0,2,0,209.36,2.44,stop,-31.0
2023-06-30,Friday,6,61.25,164.38,1,0.926,64,breakout,loss,09:45,long,1185.0,1,3,0,203.7,3.66,target,59.5
2023-07-06,Thursday,7,64.0,-176.75,-1,1.878,77,breakout,win,09:54,short,-625.0,0,0,1,83.17,0.0,stop,-31.0
2023-07-14,Friday,7,82.25,52.12,1,1.202,94,breakout,loss,10:02,long,-625.0,0,1,0,139.0,1.25,stop,-31.0
2023-07-18,Tuesday,7,63.75,-43.88,-1,1.311,84,breakout,loss,09:51,short,-625.0,0,2,0,147.2,2.5,stop,-31.0
2023-07-19,Wednesday,7,59.5,41.0,1,1.276,72,breakout,loss,10:52,long,-625.0,0,3,0,159.67,3.75,stop,-31.0
2023-07-26,Wednesday,7,73.25,-46.62,-1,1.249,82,breakout,loss,10:55,short,-625.0,0,4,0,189.04,5.0,stop,-31.0
2023-07-27,Thursday,7,71.5,243.0,1,1.289,94,breakout,loss,09:45,long,-625.0,0,5,0,191.11,6.25,stop,-31.0
2023-08-02,Wednesday,8,82.25,-186.62,-1,1.784,84,breakout,loss,10:06,short,1185.0,1,6,0,0.0,0.0,target,59.5
2023-08-08,Tuesday,8,62.5,-133.5,-1,0.862,74,breakout,win,09:48,short,1185.0,1,0,1,195.75,0.0,target,59.5
2023-08-09,Wednesday,8,87.25,-30.88,-1,0.941,76,breakout,win,09:50,short,1185.0,1,0,2,190.04,0.0,target,59.5
2023-08-10,Thursday,8,82.75,121.38,1,0.954,84,breakout,win,09:46,long,1185.0,1,0,3,194.61,0.0,target,59.5
2023-08-15,Tuesday,8,58.25,-39.88,-1,0.904,54,breakout,win,09:45,short,1185.0,1,0,4,204.53,0.0,target,59.5
2023-08-25,Friday,8,55.75,62.88,1,0.941,64,breakout,win,09:53,long,-625.0,0,0,5,227.43,0.0,stop,-31.0
2023-08-31,Thursday,8,65.0,25.75,1,0.995,84,breakout,loss,09:57,long,-625.0,0,1,0,235.2,1.12,stop,-31.0
2023-09-08,Friday,9,88.0,47.0,1,1.071,76,breakout,loss,09:50,long,-625.0,0,2,0,153.45,0.0,stop,-31.0
